"filename", "language", "HTML", "XML", "JavaScript", "JSON with Comments", "CSS", "JSON", "comment", "blank", "total"
"/Users/marcel/dev/devakademie/projekte/git/join/addTask.html", "HTML", 123, 0, 0, 0, 0, 0, 4, 9, 136
"/Users/marcel/dev/devakademie/projekte/git/join/assets/add-contact-blue-line.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/marcel/dev/devakademie/projekte/git/join/assets/add-contact-img.svg", "XML", 0, 19, 0, 0, 0, 0, 0, 1, 20
"/Users/marcel/dev/devakademie/projekte/git/join/assets/add-contact-logo.svg", "XML", 0, 8, 0, 0, 0, 0, 0, 1, 9
"/Users/marcel/dev/devakademie/projekte/git/join/assets/add-contact.svg", "XML", 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/marcel/dev/devakademie/projekte/git/join/assets/addTask.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/marcel/dev/devakademie/projekte/git/join/assets/arrow-left-blue.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/marcel/dev/devakademie/projekte/git/join/assets/blue-line-horizontal.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/marcel/dev/devakademie/projekte/git/join/assets/blue-line-vertical.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/marcel/dev/devakademie/projekte/git/join/assets/blue-plus.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/marcel/dev/devakademie/projekte/git/join/assets/blue_line_horizontal.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/marcel/dev/devakademie/projekte/git/join/assets/board.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/marcel/dev/devakademie/projekte/git/join/assets/cancel-x.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/marcel/dev/devakademie/projekte/git/join/assets/checked-filled.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/marcel/dev/devakademie/projekte/git/join/assets/clear.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
